Item;Valor;Codigo;Cantidad
Resistencia 0402;10k;71-CRCW0402-10K-E3;20
Resistencia 0402;33k;71-CRCW040233K0FKED;10
Resistencia 0402;130k;71-CRCW0402-130K-E3;10
Resistencia 0402;330k;594-MCS04020C3303FE0;10
Resistencia 0402;300k;71-CRCW0402-300K-E3;10
Resistencia 0402;1.2k;71-CRCW0402-1.2K-E3;10
Resistencia 0603;910k;71-CRCW0603-910K-E3;10
Capacitor 0603;18pF;81-GRM39C180J50;10
Capacitor 0603;100nF;80-C0603C104K4P;20
Capacitor 0603;4.7uF;81-GRM18R60J475KE19D;10
Capacitor 0603;1uF;81-GRM39R105K6.3;10
Capacitor 0603;10uF;81-GRM188C80J106KA3D;10
Capacitor 0805;10uF;81-GRM21BR61A106KE19;10
Capacitor 0805;4.7uF;81-GCM21BR71C475KA3L;10
Capacitor 1206 Tant;10uF;80-T495A106K10ATE1K8;3
Inductor;2.2uH;81-1285AS-H-2R2MP2;5
Inductor;4.7uH;810-VLS252010HBU4R7M;3
Crystal;8MHz;581-CX5032SA08HPSTZ1;3
Schotky Diode;;863-NSR05T40XV2T5G;50
Momentary Switch;;710-434153017835;50
STM32;;511-STM32L471RGT6;1
Card Reader;;798-DM3AT-SF-PEJM5;2
USB Connector;;538-47346-1001;2
Power Switch;;688-SSSS810701;3
OLED Display;;668-REX012832AWPP3N;1
FFC Display Connector;;798-FH12-24S-0.5SH55;2
Buck 3.3v voltage regulator;;595-TPS627431YFPR;2
Boost 13v voltage regulator;;511-STOD1317BTPUR;2
Battery Charger Controller;;595-BQ21040DBVR;2
Battery Connector;;538-87438-0243;3
Battery Wire Housing;;538-87439-0200;3
Battery Wire Contact;;538-87421-0000-CT;100
